Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Total,Rank_asistencias_Total,Rank_rebotes_Total,Rank_libres_Total,Rank_dobles_Total,Rank_triples_Total,Rank_robos_Total,Rank_score_global_Total,Torneo,picture
ESTEBAN TRUJILLO,10.333333333333332,1.3333333333333335,4.916666666666666,1.1666666666666667,1.0833333333333335,2.3333333333333335,3.083333333333333,19.666666666666664,8,76,34,87,50,108,16,10,83,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/eZymfVPVvAHKPseznuvRLU.jpg
EZEQUIEL  CARACOCHE,4.0,0.6666666666666666,5.333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,10.666666666666666,3,176,66,79,57,109,75,72,199,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL ARGENTO,5.75,0.75,6.5,1.0,1.25,0.75,1.25,14.25,4,144,63,62,57,100,55,47,145,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/h33jrVhymvTbqjYYSw19q2.jpg
EZEQUIEL BONET,1.0,0.0,2.0,0.0,0.5,0.0,0.0,3.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL BRAUCH,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/bD1tkXGVTR4UgMcg2mJPd4.jpg
EZEQUIEL DE PASQUALE,11.0,0.5,2.5,1.5,4.0,0.5,0.5,14.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL DIGIOVANNI,13.0,1.25,5.75,1.75,3.75,1.25,3.75,23.75,4,46,41,72,31,37,38,4,45,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL FERNANDEZ NAVONE,8.375,0.5,6.375,1.0,2.375,0.875,0.75,16.0,6,102,74,64,57,61,48,67,121,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL GOMEZ,16.333333333333332,2.3333333333333335,4.0,4.0,5.666666666666667,0.3333333333333333,0.0,22.666666666666668,3,21,17,108,6,12,75,95,54,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL ILAN LITVAK,1.0,0.75,2.75,0.0,0.5,0.0,1.0,5.5,4,232,63,149,89,120,86,57,286,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL JEDVABNIK,1.3333333333333333,0.25,1.8333333333333335,0.0,0.6666666666666666,0.0,0.0,3.416666666666667,5,227,83,172,89,116,86,95,316,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL LOPEZ AMALFARA,3.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL MAHMUD,2.0,0.5,1.75,0.0,0.25,0.5,2.0,6.25,4,215,74,175,89,128,65,25,270,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL MASSON,0.0,0.0,4.333333333333333,0.0,0.0,0.0,0.0,4.333333333333333,3,246,89,102,89,133,86,95,305,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6gWTpLC5Hs5FCmdtoY1cEr.jpg
EZEQUIEL OLGUIN,14.791666666666668,0.25,2.541666666666667,1.4583333333333335,2.416666666666667,2.833333333333333,1.25,18.833333333333336,7,32,83,155,41,59,11,47,89,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL PEREZ GUNTIN,9.0,1.25,4.75,1.75,2.5,0.75,0.5,15.5,4,93,41,90,31,58,55,77,129,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/h6XD6QZpjDNkZcVcW7QWBW.JPG
EZEQUIEL ROZENFARB,5.888888888888889,2.277777777777778,4.638888888888888,0.8333333333333334,1.3611111111111114,0.7777777777777777,1.4722222222222223,14.277777777777779,9,139,18,93,60,95,54,37,144,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL VILLAFANE,6.666666666666667,2.0,3.1666666666666665,0.6666666666666666,1.0,1.3333333333333333,1.8333333333333333,13.666666666666666,6,126,22,136,65,109,35,27,153,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
EZEQUIEL VILLAGRAN,2.0,0.25,3.25,0.5,0.75,0.0,1.0,6.5,4,215,83,133,72,114,86,57,266,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FABIAN FLORENTIN,4.4,1.4,3.4,0.8,1.8,0.0,1.6,10.8,5,168,32,129,61,81,86,33,196,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FABIAN FONTEIRIZ,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FABRICIO MEDINA,2.25,0.5,3.5,0.5,0.5,0.25,0.25,6.5,4,209,74,127,72,120,78,89,266,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FABRIZIO DURO,9.0,0.0,1.0,0.5,2.0,1.5,0.5,10.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUANDO HADDAD,7.333333333333333,2.0,14.0,1.0,2.6666666666666665,0.3333333333333333,1.0,24.333333333333332,3,117,22,2,57,54,75,57,40,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO AGUSTIN NAVEIRA TORRADO,9.833333333333334,0.3333333333333333,10.166666666666666,0.5,4.166666666666667,0.3333333333333333,1.8333333333333333,22.166666666666668,6,81,81,17,72,32,75,27,58,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO ALEM,17.6,2.0,12.0,4.0,4.4,1.6,1.4,33.0,5,16,22,7,6,27,30,42,8,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/ffmobtBcEBi8pARxNWLNTt.jpg
FACUNDO ALVAREZ,6.5,1.1666666666666667,3.8333333333333335,0.6666666666666666,1.6666666666666667,0.8333333333333334,1.8333333333333333,13.333333333333334,6,131,45,115,65,84,49,27,160,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/eZymfVPVvAHKPseznuvRLU.jpg
FACUNDO APKARIAN,4.333333333333333,0.6666666666666666,3.6666666666666665,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,9.0,3,171,66,122,89,84,75,84,229,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO ARAOZ,2.0,0.0,3.0,0.0,1.0,0.0,1.0,6.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO BAZTAN,14.0,1.0,4.5,4.5,4.0,0.5,2.0,21.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO BULLA,0.5,2.0,1.5,0.5,0.0,0.0,1.5,5.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO BUSTAMANTE,2.5,0.25,2.75,0.25,0.0,0.75,0.5,6.0,4,204,83,149,82,133,55,77,275,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO CASTETS,5.666666666666667,1.3333333333333333,11.666666666666666,1.0,2.3333333333333335,0.0,3.3333333333333335,22.0,3,145,35,9,57,62,86,7,59,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO CREMIEUX,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/eFFbuXtiJ5ZFd3KnXA1Xgx.jpg
FACUNDO DAVIS,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,3.6666666666666665,3,232,81,181,77,124,86,57,313,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/dGEFBC7Wyjm1AkzuCN5Mf7.jpg
FACUNDO DEMIAN SGRO,10.0,3.0,6.0,0.0,2.0,2.0,2.0,21.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO DIAZ KOZAK,2.0,0.5,6.0,0.0,1.0,0.0,0.5,9.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO DUARTE ARAUZ,10.75,0.25,4.5,3.75,1.25,1.5,1.0,16.5,4,69,83,96,7,100,32,57,115,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO ECHEVARRIA,2.75,0.5,6.0,0.25,1.25,0.0,0.75,10.0,4,197,74,68,82,100,86,67,211,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO EMILIANO RODRIGUEZ,17.5,2.5,4.5,5.5,3.0,2.0,0.0,24.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO GALARZA,13.333333333333334,1.3333333333333333,5.0,2.0,2.6666666666666665,2.0,0.3333333333333333,20.0,3,43,35,85,28,54,21,84,80,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jAv7KwdDga5c51hBD6xj5F.JPG
FACUNDO GASTON DEL VALLE,4.1,1.5,3.5,0.4,1.4,0.3,0.4,9.5,6,175,30,127,75,94,76,82,221,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/mUuS9Y9DKYcQ3HC376qzPq.jpg
FACUNDO GOLCEKER,2.0,0.5,3.25,0.25,0.5,0.25,0.25,6.0,4,215,74,133,82,120,78,89,275,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/tY7HiCvkXPCj1Hq564cbdJ.jpg
FACUNDO GONZALEZ,3.4,1.0,2.8,0.6,0.8,0.4,0.4,7.6,5,187,52,147,68,113,72,82,250,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO GUZMAN,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO HERNAN BADARIOTTI,2.75,0.5,1.75,0.0,1.0,0.25,0.25,5.25,4,197,74,175,89,109,78,89,290,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/oUpQizfSnRBwxKGBXHFAxZ.jpg
FACUNDO IGNACIO BERGALLO,5.0,0.0,4.0,2.0,0.0,1.0,5.0,14.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO IVAN MIGLIASSO,3.6666666666666665,0.3333333333333333,8.666666666666666,0.3333333333333333,1.6666666666666667,0.0,1.0,13.666666666666666,3,182,81,31,77,84,86,57,153,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO LORENZO,12.0,2.0,5.0,1.0,4.0,1.0,2.0,21.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO LUONI,4.5,2.0,8.75,0.0,2.25,0.0,1.25,16.5,4,166,22,30,89,67,86,47,115,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO MARINO,20.0,0.4,7.6,3.0,7.0,1.0,2.4,30.4,5,8,78,44,12,3,44,18,16,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/s6MvzF15SE1XzTrisztz7K.jpg
FACUNDO MEERFELD,1.3333333333333333,0.3333333333333333,5.0,0.0,0.6666666666666666,0.0,0.3333333333333333,7.0,3,227,81,85,89,116,86,84,258,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO NICOLAS CHAIN,10.0,1.0,4.0,2.0,4.0,0.0,4.0,19.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO PARRA AIZPITARTE,2.0,0.0,1.0,1.0,0.5,0.0,0.5,3.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO PASSEGGI,14.25,2.25,8.0,3.5,3.5,1.25,1.25,25.75,4,37,19,39,10,42,38,47,31,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO PEREZ,6.0,2.0,3.0,2.0,2.0,0.0,0.0,11.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO PONTILLO,0.0,0.5,2.0,0.0,0.0,0.0,0.5,3.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO SGRO,7.25,2.0,2.5,1.25,1.5,1.0,1.75,13.5,4,118,22,156,47,89,44,29,158,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO TAFFAREL,1.0,0.25,2.75,0.0,0.5,0.0,0.5,4.5,4,232,83,149,89,120,86,77,302,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FACUNDO TORRES,9.95,0.925,8.075,1.35,4.3,0.0,0.0,18.95,9,80,54,38,44,29,86,95,88,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/2dtUKYSSBbfHvXCQSVPCz6.jpg
FACUNDO VARELA,4.0,1.0,4.0,3.0,0.5,0.0,1.0,10.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/9BXjQNmC9EGdxLTaNwi6eN.jpg
FACUNDO VERA OCAMPO,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.0,0.3333333333333333,0.0,0.3333333333333333,2.0,6,238,85,187,89,124,86,84,331,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6QV31pFsT22KUbnV4QcLvH.jpg
FARRUGGIA GONZALO,13.916666666666666,1.2222222222222223,7.416666666666667,2.972222222222222,3.6388888888888893,1.2222222222222223,1.75,24.305555555555554,9,40,42,46,13,39,39,29,41,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO ACOSTA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO ADRIAN ALBANESE,3.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,5.0,3,193,81,181,65,116,75,84,295,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO AGUSTIN FRUTOS,9.5,1.0,5.0,3.5,1.5,1.0,0.5,16.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/fwEEFdfhgvPSw4Eatnok8C.jpg
FEDERICO ARIEL WELLINGRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO BARRAU MACEIRA,0.0,0.25,1.0,0.0,0.0,0.0,0.75,2.0,4,246,83,185,89,133,86,67,331,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO BAVA,6.5,0.5,3.5,1.0,2.0,0.5,1.5,12.0,4,131,74,127,57,75,65,36,178,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO BERRUTTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO BREDESTON,6.5,1.5,2.0,1.5,1.0,1.0,2.0,12.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO CARREIRA,1.6666666666666667,0.3333333333333333,4.333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,6.666666666666667,3,219,81,102,77,116,86,84,263,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO CASSINA,5.5,1.0,5.0,1.0,1.5,0.5,0.0,11.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/d5tJSqJg6Y1MhopbJF1BFD.jpg
FEDERICO COLLASIUS,1.75,0.25,3.75,0.25,0.75,0.0,0.5,6.25,4,218,83,119,82,114,86,77,270,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO FASANO,6.6,0.4,1.8,1.4,0.8,1.2,2.0,10.8,5,129,78,174,42,113,40,25,196,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/1grZcm1hGcg2kUNDQkuK6P.jpg
FEDERICO FERNANDEZ,0.6666666666666666,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,2.0,3,238,89,181,89,124,86,95,331,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO FONTEIRIZ,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO FRANZESE,6.5,0.5,8.5,2.0,1.5,0.5,1.0,16.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jmQou394sWdiQ3YKs2o3T1.jpg
FEDERICO GABRIEL ALVAREZ ROUCO,3.5,0.0,7.25,0.0,1.75,0.0,0.0,10.75,4,186,89,49,89,83,86,95,197,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO GASTON ALE,1.75,1.75,3.75,0.0,0.125,0.5,0.75,8.0,8,218,26,119,89,131,65,67,243,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/mUuS9Y9DKYcQ3HC376qzPq.jpg
FEDERICO GASTON MARINO,17.0,0.0,10.0,1.0,5.0,2.0,1.0,28.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO GESTAL,5.4,0.6,3.8,0.2,0.8,1.2,0.2,10.0,5,148,70,117,83,113,40,90,211,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/7JcDxFFvuWASxviXRURaZG.jpg
FEDERICO GRAFFIGNA,6.0,2.0,5.0,1.0,1.0,1.0,2.0,15.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO JARA SAMANIEGO,6.4,0.8,6.2,0.2,1.0,1.4,0.6,14.0,5,132,62,67,83,109,34,74,147,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO LAPROVITTOLA,11.0,1.0,8.0,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,21.666666666666668,3,67,52,39,34,84,21,31,62,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO LICHTMAIER,7.666666666666667,0.6666666666666666,5.333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,15.666666666666666,3,110,66,79,77,84,35,25,127,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO LIPSICH,0.3333333333333333,0.16666666666666666,1.1666666666666667,0.0,0.16666666666666666,0.0,0.0,1.6666666666666667,5,244,85,184,89,130,86,95,334,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/ccuZw4yvabmB8tsT8PfXZs.jpg
FEDERICO MAJUL,8.6,1.6,4.8,0.6,3.4,0.4,0.2,15.2,5,99,29,89,68,43,72,90,132,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO MARTINEZ,2.4166666666666665,0.16666666666666666,2.0,0.8333333333333334,0.29166666666666663,0.3333333333333333,0.4583333333333333,5.041666666666667,7,205,85,168,60,126,75,78,294,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jAv7KwdDga5c51hBD6xj5F.JPG
FEDERICO PITTERI,5.0,0.0,5.0,0.0,1.0,1.0,1.0,11.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/kkkALDYfoFwFsFG3qM8W28.jpg
FEDERICO RAFAEL SILVA,5.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO RUGGIERO,2.0,0.0,3.0,1.0,0.5,0.0,1.0,6.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/etmXZYAV76JFGw16EnKnw8.jpg
FEDERICO SORAIDE,0.75,0.25,1.75,0.25,0.25,0.0,0.0,2.75,4,237,83,175,82,128,86,95,323,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO SURIANI,7.375,0.625,3.875,0.75,0.875,1.625,0.125,12.0,8,116,68,112,62,110,29,92,178,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO TELLAS,2.5,0.75,1.75,0.5,0.25,0.5,0.25,5.25,4,204,63,175,72,128,65,89,290,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/rSpfiqfUv7YNf2Zff3vt6t.jpg
FEDERICO TEPER,2.5,0.375,4.5,0.0,0.5,0.5,1.125,8.5,8,204,79,96,89,120,65,53,237,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO TRIBERTI,2.8,0.4,3.0,0.4,0.6,0.4,0.4,6.6,5,196,78,142,75,119,72,82,264,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO VALLARINO,7.0,1.0,4.0,1.0,3.0,0.0,1.0,13.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO VALLEJOS QUINTANA,2.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FEDERICO VILLALBA,5.5,1.5,4.0,1.0,1.5,0.5,0.0,11.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/4FGZ6JigsSmc7PdFCzxVDo.jpg
FELIPE ALBA,6.0,0.0,7.0,1.6,1.6,0.4,0.4,13.4,5,138,89,53,37,88,72,82,159,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/rFVDA1RxWCApMEDytB69YD.jpg
FELIPE ARENAS,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FELIPE BLASCO,3.0,1.3333333333333333,3.6666666666666665,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,8.333333333333334,3,193,35,122,77,124,57,84,240,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/aAwTs7K5XC7FKPoM6PuEP3.jpg
FELIPE HERNAN ERCOLI,1.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,0.0,4.0,3,232,66,160,77,124,86,95,309,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/cipXKkRSCgar7CR9mLNMvf.jpg
FELIPE MAFFE,1.0,0.0,1.0,0.0,0.5,0.0,0.0,2.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FELIPE MANUEL CITTADINO,2.0,0.0,2.8,0.0,1.0,0.0,0.4,5.2,5,215,89,147,89,109,86,82,291,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/9nevt7GBfaYxqn5MRA5wWJ.jpg
FELIPE MASSA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FELIPE REDONDO,7.5,1.75,4.75,0.0,0.75,2.0,0.75,14.75,4,114,26,90,89,114,21,67,138,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/8n4FQQjd3mXw4X5QcoPHia.jpg
FELIPE STOLOWICZ,13.0,0.6666666666666666,3.0,0.6666666666666666,1.6666666666666667,3.0,2.0,18.666666666666668,3,46,66,142,65,84,9,25,92,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FELIPE TOMAS NUCERA,8.5,1.0,10.0,1.0,3.0,0.5,0.0,19.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
FELIPE VALENZA,12.0,2.0,5.0,1.5,3.75,1.0,2.75,21.75,4,55,22,85,40,37,44,14,61,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/fX4cGawAmf8ojkpahPdnCY.jpg
FELIX SCARAFIA,10.666666666666666,1.3333333333333333,5.333333333333333,1.0,2.3333333333333335,1.6666666666666667,2.0,19.333333333333332,3,70,35,79,57,62,28,25,85,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/bD1tkXGVTR4UgMcg2mJPd4.jpg
