Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Total,Rank_asistencias_Total,Rank_rebotes_Total,Rank_libres_Total,Rank_dobles_Total,Rank_triples_Total,Rank_robos_Total,Rank_score_global_Total,Torneo,picture
VALENTIN PARODI,5.0,1.0,10.0,0.0,1.0,1.0,1.0,17.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTIN RECALDE,22.5,1.0,5.5,7.5,4.5,2.0,2.5,31.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTIN RODRIGUEZ,0.6666666666666666,1.0,2.0,0.0,0.3333333333333333,0.0,0.3333333333333333,4.0,3,238,52,168,89,124,86,84,309,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTIN ROLDAN MANGAS,17.0,1.0,8.25,2.75,4.5,1.75,2.25,28.5,4,18,52,36,16,26,25,21,22,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/orBjXmmUvQLHGmuzn9rxTC.jpg
VALENTIN SENDON,10.0,2.0,2.0,0.0,2.0,2.0,4.0,18.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTINA MARTICORENA,7.5,1.0,1.0,2.0,2.0,0.5,1.0,10.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/7kudj65CDiczaJ4ZuW5g1f.jpg
VALENTINO BANFI,5.0,0.5,3.75,0.25,2.0,0.25,1.75,11.0,4,159,74,119,82,75,78,29,194,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTINO GERBALDO,4.0,1.0,7.0,0.0,2.0,0.0,0.0,12.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/k5DFmiJtA8KtF87KqewqBx.jpg
VALENTINO LOPEZ,3.5,0.75,4.5,0.0,1.75,0.0,0.5,9.25,3,186,63,96,89,83,86,77,227,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTINO PERTICARO,1.5,0.25,3.5,0.0,0.75,0.0,0.0,5.25,4,222,83,127,89,114,86,95,290,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VARELA NICOLAS,6.333333333333333,0.0,7.0,1.0,2.6666666666666665,0.0,0.0,13.333333333333334,3,133,89,53,57,54,86,95,160,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VAZQUEZ CARDOZO LAUTARO,5.25,0.5,5.25,2.25,1.5,0.0,3.5,14.5,4,153,74,81,22,89,86,6,141,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"VAZQUEZ, TOMAS",4.416666666666666,0.16666666666666666,6.583333333333333,0.0,1.8333333333333333,0.25,1.4166666666666667,12.583333333333334,5,167,85,61,89,80,78,41,170,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/p56VeMn8ecgmGzzxoPqnQv.jpg
VERGARA ADRIAN EBER,4.333333333333333,0.0,5.333333333333333,2.3333333333333335,1.0,0.0,0.0,9.666666666666666,3,171,89,79,21,109,86,95,217,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VICENTE MURALL,12.25,1.5,3.75,2.0,4.0,0.75,0.5,18.0,4,52,30,119,28,35,55,77,100,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VICONDOA BOGAZZI GABRIEL,13.0,1.0,3.5,1.0,3.0,2.0,0.5,18.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/aPSZuTH1wTSg46ooXELoQq.jpg
VICTOR RAUL IBANEZ,1.0,0.0,3.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,0.0,4.333333333333333,3,232,89,131,77,124,86,95,305,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"VILELLA, MARTIN ARIEL",2.0,1.6,4.0,0.0,0.4,0.4,0.6,8.2,5,215,29,108,89,122,72,74,242,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/gretkATR9Kb4inMRcqMZvZ.jpg
"VILLALBA, MAURO",1.25,0.25,2.0,0.25,0.5,0.0,0.5,4.0,4,228,83,168,82,120,86,77,309,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VILLALONGA VICENTE,3.0,1.0,2.6666666666666665,0.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,8.0,3,193,52,151,77,97,86,44,243,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"VIRGINILLO, MATIAS EZEQUIEL",3.0,0.625,3.791666666666667,0.375,0.5,0.5416666666666666,0.375,7.791666666666666,7,193,68,118,76,120,64,83,245,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/vCvEbc73xNxXtVZvz8N7f3.jpg
