categoria,Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Categoria,Rank_asistencias_Categoria,Rank_rebotes_Categoria,Rank_libres_Categoria,Rank_dobles_Categoria,Rank_triples_Categoria,Rank_robos_Categoria,Rank_score_global_Categoria,Torneo,picture
PRIMERA B,MIE LURASCHI FRANCISCO MATIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,MIGUEL SERRUDO,4.0,0.2,1.8,0.0,0.2,1.2,0.6,6.6,5,86,37,78,39,61,16,32,120,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,"MUNOZ, JULIAN ERNESTO",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/wJ9JrqX8opnitYhZujMn2T.jpg
PRIMERA B,"NACHTRIEB, BRUNO AUGUSTO",2.6666666666666665,0.6666666666666666,4.0,0.0,1.3333333333333333,0.0,0.3333333333333333,7.666666666666667,3,98,30,55,39,48,30,36,111,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/4ZjjrxUhDqB7rpzcz8Jjo5.jpg
PRIMERA B,NAHUEL ESTRELLA,8.333333333333334,1.6666666666666667,3.3333333333333335,0.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,14.666666666666666,3,53,16,63,36,40,14,22,63,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jAv7KwdDga5c51hBD6xj5F.JPG
PRIMERA B,NAHUEL OTERO,5.6,1.0,3.2,0.0,2.2,0.4,0.6,10.4,5,72,25,65,39,38,25,32,94,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,NAHUEL PEREZ,1.0,0.5,2.5,0.0,0.5,0.0,1.0,5.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/rDiqbX2ZsKKV4z2gMr8bYK.jpg
PRIMERA B,NAZARENO ALBEROLA,7.5,3.0,4.5,2.0,2.0,0.5,3.0,18.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,NEHUEN PISCANC,4.4,1.2,5.4,0.2,1.2,0.6,0.8,11.8,5,83,23,40,38,50,23,29,80,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,"NEMEC, MATEO",3.0,0.0,4.5,0.0,1.5,0.0,1.0,8.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/x2RbtK3KAodzzq1ZxZTXCS.jpg
