player,puntos_totales,puntos_por_partido,rebotes_totales,rebotes_por_partido,asistencias_totales,asistencias_por_partido,robos_totales,robos_por_partido,faltas_totales,faltas_por_partido,triples_totales,triples_por_partido,dobles_totales,dobles_por_partido,libres_totales,libres_por_partido,score_global,score_global_por_partido,partidos_jugados,participacion_ofensiva_promedio,participacion_defensiva_promedio
Agustin Ezequiel ZOCCHI,17,4.25,20,5.0,6,1.5,1,0.25,7,1.75,3,0.75,3,0.75,2,0.5,44,11.0,4,0.10544749667700488,0.11061376511687071
Agustin Francisco Fornes,11,5.5,12,6.0,1,0.5,5,2.5,5,2.5,1,0.5,3,1.5,2,1.0,29,14.5,2,0.15824175824175823,0.2180232558139535
Agustin Ignacio Serafini,17,8.5,7,3.5,2,1.0,0,0.0,3,1.5,3,1.5,4,2.0,0,0.0,26,13.0,2,0.15512820512820513,0.06626098715348208
Agustin Lyardet,12,4.0,14,4.666666666666667,7,2.3333333333333335,3,1.0,10,3.3333333333333335,1,0.3333333333333333,4,1.3333333333333333,1,0.3333333333333333,36,12.0,3,0.13500750851212515,0.11356209150326797
Agustin Maceira,0,0.0,1,1.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,1,1.0,1,0.0,0.0196078431372549
Agustin Maffe,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,1,0.0,0.03773584905660377
Agustin Mendia,27,9.0,18,6.0,1,0.3333333333333333,3,1.0,27,9.0,2,0.6666666666666666,8,2.6666666666666665,5,1.6666666666666667,49,16.333333333333332,3,0.2417105929301051,0.15645994832041343
Agustin Nadal,7,2.3333333333333335,11,3.6666666666666665,6,2.0,7,2.3333333333333335,9,3.0,0,0.0,2,0.6666666666666666,3,1.0,31,10.333333333333334,3,0.10873737373737374,0.1256273624859357
Agustin Nehuen Martinez,3,0.42857142857142855,18,2.5714285714285716,2,0.2857142857142857,0,0.0,11,1.5714285714285714,0,0.0,1,0.14285714285714285,1,0.14285714285714285,23,3.2857142857142856,7,0.013029100529100529,0.061701119445480346
Agustin Paura,14,4.666666666666667,11,3.6666666666666665,7,2.3333333333333335,4,1.3333333333333333,4,1.3333333333333333,1,0.3333333333333333,4,1.3333333333333333,3,1.0,36,12.0,3,0.14571621752149136,0.10867048573815491
Agustin Sainato,26,6.5,37,9.25,5,1.25,4,1.0,8,2.0,2,0.5,9,2.25,2,0.5,72,18.0,4,0.2322451584150393,0.2451030412164866
Agustin Silva,42,10.5,7,1.75,2,0.5,3,0.75,7,1.75,11,2.75,4,1.0,1,0.25,54,13.5,4,0.26625417946569047,0.058315826330532214
Agustin Silva	,50,10.0,15,3.0,0,0.0,3,0.6,4,0.8,10,2.0,9,1.8,2,0.4,68,13.6,5,0.24476681263330652,0.09219479634373251
Agustín Ares,20,5.0,16,4.0,3,0.75,5,1.25,8,2.0,5,1.25,2,0.5,1,0.25,44,11.0,4,0.1088433797694087,0.10200898194643711
Agustín Barros,2,0.5,15,3.75,1,0.25,0,0.0,5,1.25,0,0.0,1,0.25,0,0.0,18,4.5,4,0.014904862579281183,0.07590198089746464
Agustín Barros	,2,0.6666666666666666,16,5.333333333333333,0,0.0,1,0.3333333333333333,6,2.0,0,0.0,1,0.3333333333333333,0,0.0,19,6.333333333333333,3,0.017543859649122806,0.12157210401891254
Agustín Cason	,30,5.0,21,3.5,7,1.1666666666666667,7,1.1666666666666667,12,2.0,2,0.3333333333333333,10,1.6666666666666667,4,0.6666666666666666,65,10.833333333333334,6,0.15110450160060326,0.13395465443337784
Agustín Catalin Malin,0,0.0,3,3.0,2,2.0,2,2.0,1,1.0,0,0.0,0,0.0,0,0.0,7,7.0,1,0.03225806451612903,0.07936507936507936
Agustín Guerrero Penas,8,2.6666666666666665,13,4.333333333333333,0,0.0,5,1.6666666666666667,3,1.0,0,0.0,4,1.3333333333333333,0,0.0,26,8.666666666666666,3,0.04284007509813961,0.09828723155929038
Agustín Jamele,0,0.0,8,2.6666666666666665,2,0.6666666666666666,2,0.6666666666666666,3,1.0,0,0.0,0,0.0,0,0.0,12,4.0,3,0.014814814814814815,0.07270892687559355
Agustín Passadore,24,12.0,13,6.5,2,1.0,2,1.0,5,2.5,0,0.0,12,6.0,0,0.0,41,20.5,2,0.25774754346182915,0.13157894736842105
Agustín Ruiz,4,2.0,3,1.5,3,1.5,1,0.5,2,1.0,0,0.0,2,1.0,0,0.0,11,5.5,2,0.07140554480980013,0.035695468914647
Agustín Samos,9,3.0,14,4.666666666666667,3,1.0,3,1.0,7,2.3333333333333335,0,0.0,3,1.0,3,1.0,29,9.666666666666666,3,0.07137405400756794,0.10615857018432606
Agustín Sánchez,18,6.0,22,7.333333333333333,5,1.6666666666666667,3,1.0,4,1.3333333333333333,0,0.0,7,2.3333333333333335,4,1.3333333333333333,48,16.0,3,0.11441286247487797,0.14083021762055412
Agustín beltramino,5,2.5,6,3.0,1,0.5,0,0.0,4,2.0,0,0.0,1,0.5,3,1.5,12,6.0,2,0.049999999999999996,0.05185317177476835
Agustín bidone	,10,2.0,13,2.6,1,0.2,2,0.4,3,0.6,0,0.0,5,1.0,0,0.0,26,5.2,5,0.04869865239892992,0.07304978230510145
Alan Agustin Sio Lopez,68,8.5,29,3.625,5,0.625,7,0.875,10,1.25,8,1.0,19,2.375,6,0.75,109,13.625,8,0.17294407017950908,0.09804762273311696
Alan Benduya,36,12.0,17,5.666666666666667,1,0.3333333333333333,2,0.6666666666666666,10,3.3333333333333335,1,0.3333333333333333,7,2.3333333333333335,19,6.333333333333333,56,18.666666666666668,3,0.3013468013468013,0.11765487694280263
Alan Berman,10,5.0,3,1.5,0,0.0,2,1.0,3,1.5,2,1.0,2,1.0,0,0.0,15,7.5,2,0.08792372881355932,0.04517663043478261
Alan Dveksler,0,0.0,3,3.0,0,0.0,1,1.0,3,3.0,0,0.0,0,0.0,0,0.0,4,4.0,1,0.0,0.09090909090909091
Alan Ezequiel Gomez,0,0.0,2,2.0,2,2.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,4,4.0,1,0.03225806451612903,0.03225806451612903
Alan Garber,28,9.333333333333334,20,6.666666666666667,10,3.3333333333333335,2,0.6666666666666666,4,1.3333333333333333,1,0.3333333333333333,10,3.3333333333333335,5,1.6666666666666667,60,20.0,3,0.23901098901098905,0.15237231293639011
Alan Guillermo Aaron Godoy	,13,3.25,17,4.25,2,0.5,1,0.25,14,3.5,1,0.25,5,1.25,0,0.0,33,8.25,4,0.09981838889401914,0.09406223083548665
Alan Kurc,30,10.0,25,8.333333333333334,4,1.3333333333333333,5,1.6666666666666667,4,1.3333333333333333,0,0.0,13,4.333333333333333,4,1.3333333333333333,64,21.333333333333332,3,0.19576719576719573,0.20774515339732733
Alan alejo metzler,22,11.0,15,7.5,4,2.0,3,1.5,3,1.5,1,0.5,7,3.5,5,2.5,44,22.0,2,0.17919435215946844,0.1601639344262295
Alberto Gustavo Rabanal,18,9.0,10,5.0,1,0.5,0,0.0,5,2.5,1,0.5,6,3.0,3,1.5,29,14.5,2,0.19791666666666666,0.07246376811594203
Alberto Nicolas Mendez	,8,4.0,5,2.5,0,0.0,0,0.0,4,2.0,0,0.0,4,2.0,0,0.0,13,6.5,2,0.07549019607843137,0.05380952380952381
Alejandro Carbonell ,3,1.5,8,4.0,0,0.0,2,1.0,3,1.5,1,0.5,0,0.0,0,0.0,13,6.5,2,0.04285714285714286,0.10664335664335664
Alejandro Duarte,0,0.0,8,8.0,1,1.0,2,2.0,2,2.0,0,0.0,0,0.0,0,0.0,11,11.0,1,0.01694915254237288,0.23255813953488372
Alejandro Peralta,1,1.0,2,2.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,1,1.0,4,4.0,1,0.02857142857142857,0.05660377358490566
Alejandro Rafael Mayora Villanueva,79,15.8,77,15.4,4,0.8,12,2.4,17,3.4,5,1.0,28,5.6,8,1.6,172,34.4,5,0.36347409707269956,0.30723355018556375
Alejandro Rafael Mayora Villanueva	,71,14.2,36,7.2,2,0.4,10,2.0,8,1.6,4,0.8,25,5.0,9,1.8,119,23.8,5,0.3105524876202328,0.2279740029474072
Alejandro Vaz Ferreira,10,5.0,9,4.5,0,0.0,6,3.0,0,0.0,2,1.0,2,1.0,0,0.0,25,12.5,2,0.13513513513513514,0.1769005847953216
Alejo Alejo Manuel Garcia,4,4.0,2,2.0,1,1.0,1,1.0,2,2.0,0,0.0,2,2.0,0,0.0,8,8.0,1,0.13157894736842105,0.057692307692307696
Alejo Cassina,11,5.5,7,3.5,2,1.0,0,0.0,2,1.0,0,0.0,5,2.5,1,0.5,20,10.0,2,0.15635074145712444,0.09347826086956522
Alejo Dominguez,41,13.666666666666666,15,5.0,0,0.0,10,3.3333333333333335,6,2.0,7,2.3333333333333335,9,3.0,2,0.6666666666666666,66,22.0,3,0.254181145294799,0.1357808857808858
Alejo Lopez,30,10.0,14,4.666666666666667,1,0.3333333333333333,1,0.3333333333333333,6,2.0,2,0.6666666666666666,9,3.0,6,2.0,46,15.333333333333334,3,0.19618593051255587,0.09435823601557085
Alejo Planas,4,4.0,3,3.0,3,3.0,2,2.0,1,1.0,0,0.0,1,1.0,2,2.0,12,12.0,1,0.16279069767441862,0.10869565217391304
Alejo Sahagun,0,0.0,6,3.0,1,0.5,0,0.0,5,2.5,0,0.0,0,0.0,0,0.0,7,3.5,2,0.00909090909090909,0.08391608391608392
Alex Falcon,2,2.0,4,4.0,0,0.0,1,1.0,2,2.0,0,0.0,1,1.0,0,0.0,7,7.0,1,0.03076923076923077,0.10869565217391304
Alex Mugica,14,7.0,5,2.5,4,2.0,7,3.5,3,1.5,1,0.5,5,2.5,1,0.5,30,15.0,2,0.10933503836317135,0.1122168840082361
Alex Rosler,5,1.6666666666666667,6,2.0,0,0.0,3,1.0,2,0.6666666666666666,0,0.0,2,0.6666666666666666,1,0.3333333333333333,14,4.666666666666667,3,0.03893178893178893,0.06758165254405855
Alexis Ohan Koruk,23,7.666666666666667,20,6.666666666666667,0,0.0,1,0.3333333333333333,5,1.6666666666666667,0,0.0,10,3.3333333333333335,3,1.0,44,14.666666666666666,3,0.15872697265712118,0.15810943442522388
Alfonzo Nahuel,14,7.0,5,2.5,1,0.5,3,1.5,2,1.0,2,1.0,4,2.0,0,0.0,23,11.5,2,0.14163372859025034,0.07142857142857142
Alfredo Tucci,2,1.0,6,3.0,1,0.5,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,10,5.0,2,0.0625,0.0871951219512195
Alvaro Manuel Mendoza,14,14.0,4,4.0,3,3.0,2,2.0,3,3.0,1,1.0,3,3.0,5,5.0,23,23.0,1,0.34,0.1276595744680851
Alvaro Nataniel condori,9,2.25,10,2.5,0,0.0,1,0.25,3,0.75,1,0.25,3,0.75,0,0.0,20,5.0,4,0.047882548998620426,0.04436195712909051
Alvaro Nataniel condori	,1,0.25,4,1.0,0,0.0,1,0.25,4,1.0,0,0.0,0,0.0,1,0.25,6,1.5,4,0.005434782608695652,0.041294642857142856
