team,puntos_totales,puntos_por_partido,rebotes_totales,rebotes_por_partido,asistencias_totales,asistencias_por_partido,robos_totales,robos_por_partido,faltas_totales,faltas_por_partido,triples_totales,triples_por_partido,dobles_totales,dobles_por_partido,libres_totales,libres_por_partido,score_global,score_global_por_partido,partidos_jugados,dispersion_promedio
IBU 400,214,42.8,195,39.0,34,6.8,50,10.0,95,19.0,18,3.6,60,12.0,40,8.0,493,98.6,5,6.411916053753371
INTER,150,50.0,133,44.333333333333336,11,3.6666666666666665,31,10.333333333333334,48,16.0,20,6.666666666666667,34,11.333333333333334,22,7.333333333333333,325,108.33333333333333,3,6.996021301032055
JABALLERS,191,47.75,177,44.25,21,5.25,31,7.75,50,12.5,19,4.75,58,14.5,18,4.5,420,105.0,4,7.72069172085436
JIMMY GANG,190,47.5,135,33.75,3,0.75,18,4.5,49,12.25,24,6.0,45,11.25,28,7.0,346,86.5,4,5.228681210319546
JK PHILOSOPHY,207,41.4,164,32.8,28,5.6,54,10.8,58,11.6,27,5.4,55,11.0,16,3.2,453,90.6,5,8.482752809898114
LA BARRA,172,57.333333333333336,123,41.0,40,13.333333333333334,30,10.0,41,13.666666666666666,19,6.333333333333333,49,16.333333333333332,17,5.666666666666667,365,121.66666666666667,3,11.943336841415165
LA FAMILIA LIBERTARIA,117,39.0,109,36.333333333333336,21,7.0,22,7.333333333333333,14,4.666666666666667,6,2.0,45,15.0,9,3.0,269,89.66666666666667,3,8.938102813188609
LA HUMAREDA,197,39.4,149,29.8,21,4.2,43,8.6,72,14.4,9,1.8,71,14.2,28,5.6,410,82.0,5,7.5906825596010545
LA JOTA,169,56.333333333333336,97,32.333333333333336,33,11.0,24,8.0,39,13.0,21,7.0,37,12.333333333333334,32,10.666666666666666,323,107.66666666666667,3,8.905707964386972
LA PAMPA BASKET,229,45.8,206,41.2,29,5.8,50,10.0,86,17.2,24,4.8,62,12.4,33,6.6,514,102.8,5,6.820447744894295
LA SUIT,144,48.0,125,41.666666666666664,41,13.666666666666666,22,7.333333333333333,45,15.0,8,2.6666666666666665,45,15.0,30,10.0,332,110.66666666666667,3,6.6764199060299445
LA TOLANETA,140,35.0,146,36.5,6,1.5,31,7.75,59,14.75,11,2.75,37,9.25,33,8.25,323,80.75,4,5.061783069791643
LADE,274,54.8,186,37.2,45,9.0,34,6.8,82,16.4,27,5.4,74,14.8,45,9.0,539,107.8,5,8.613289395765023
LAS ABES,159,53.0,109,36.333333333333336,31,10.333333333333334,22,7.333333333333333,41,13.666666666666666,21,7.0,40,13.333333333333334,16,5.333333333333333,321,107.0,3,9.277416219712208
LAST CHANCE,168,42.0,167,41.75,26,6.5,32,8.0,75,18.75,14,3.5,44,11.0,38,9.5,393,98.25,4,5.968982923927042
LITTLE HORSE,290,58.0,196,39.2,52,10.4,37,7.4,79,15.8,38,7.6,70,14.0,36,7.2,575,115.0,5,7.695742287753937
LOCKED,295,59.0,191,38.2,46,9.2,62,12.4,51,10.2,23,4.6,104,20.8,18,3.6,594,118.8,5,7.279549578124042
LOS CONOS,426,53.25,302,37.75,66,8.25,54,6.75,159,19.875,35,4.375,118,14.75,85,10.625,848,106.0,8,7.004771352002598
LOW PARK,264,66.0,169,42.25,34,8.5,37,9.25,71,17.75,32,8.0,69,17.25,30,7.5,504,126.0,4,8.503959598433774
MANGO JUICE,277,69.25,168,42.0,53,13.25,39,9.75,49,12.25,28,7.0,73,18.25,47,11.75,537,134.25,4,11.029587574388316
MDQ BASKET,323,64.6,198,39.6,33,6.6,33,6.6,59,11.8,44,8.8,70,14.0,51,10.2,587,117.4,5,7.504258873255829
MONSTARS,115,38.333333333333336,98,32.666666666666664,17,5.666666666666667,31,10.333333333333334,58,19.333333333333332,11,3.6666666666666665,34,11.333333333333334,14,4.666666666666667,261,87.0,3,5.120744037435286
NIGHTMARE TEAM,87,29.0,85,28.333333333333332,10,3.3333333333333335,9,3.0,28,9.333333333333334,6,2.0,33,11.0,3,1.0,191,63.666666666666664,3,4.801573905750771
NOCORRO CELTICS,219,54.75,173,43.25,42,10.5,25,6.25,29,7.25,28,7.0,61,15.25,13,3.25,459,114.75,4,9.734178206856456
NORTHERN LIGHTS,108,54.0,76,38.0,25,12.5,21,10.5,22,11.0,6,3.0,35,17.5,20,10.0,230,115.0,2,6.70015322197497
OOZMA KAPPA,383,63.833333333333336,236,39.333333333333336,59,9.833333333333334,69,11.5,83,13.833333333333334,24,4.0,118,19.666666666666668,75,12.5,747,124.5,6,10.368957651034021
OOZMA KAPPA B,214,53.5,172,43.0,35,8.75,44,11.0,66,16.5,20,5.0,61,15.25,32,8.0,465,116.25,4,8.839396006499037
PAMPORDIA,186,46.5,151,37.75,18,4.5,29,7.25,57,14.25,17,4.25,49,12.25,37,9.25,384,96.0,4,9.800743490220745
PANATHIMANKOS,260,52.0,199,39.8,27,5.4,32,6.4,64,12.8,30,6.0,70,14.0,30,6.0,518,103.6,5,9.412837791740987
PANZA VERDE,92,46.0,83,41.5,7,3.5,16,8.0,34,17.0,9,4.5,21,10.5,23,11.5,198,99.0,2,6.833162532796756
PICAPIEDRAS,198,49.5,137,34.25,33,8.25,28,7.0,74,18.5,26,6.5,45,11.25,30,7.5,396,99.0,4,6.44805496566378
PICKANTES,110,27.5,132,33.0,6,1.5,16,4.0,42,10.5,7,1.75,39,9.75,11,2.75,264,66.0,4,5.5713387926960625
