torneo,categoria,fecha_fixture,match_id,date,location,team,player,points,rebounds,assists,steals,fouls,triples,dobles,libres,status,score_global,eficiencia_ofensiva
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,LAST CHANCE,Alan Benduya,19,10,0,1,4,0,4,11,ok,30,1.2666666666666666
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,LAST CHANCE,Facundo Taffarel,0,5,0,0,0,0,0,0,ok,5,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,LAST CHANCE,Lucas Martin Ghizzoni,0,2,1,1,3,0,0,0,ok,4,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,LAST CHANCE,Comte Juan Pablo,5,3,1,2,0,1,1,0,ok,11,2.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,LAST CHANCE,Santiago Gonzalez Raffo,2,5,0,1,2,0,1,0,ok,8,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,LAST CHANCE,Carlo Rafael Garcia Palavecino,11,4,0,0,5,2,2,1,ok,15,2.2
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,LAST CHANCE,Gonzalo Villar,0,2,0,0,1,0,0,0,ok,2,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,CLUTCH PLANET,Francisco Porres,0,5,0,0,5,0,0,0,ok,5,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,CLUTCH PLANET,Lucas Daniel Andrada,0,2,0,0,4,0,0,0,ok,2,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,CLUTCH PLANET,Agustin Capurro,0,1,0,0,0,0,0,0,ok,1,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,CLUTCH PLANET,Iván Exequiel Candotti,0,7,0,0,1,0,0,0,ok,7,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,CLUTCH PLANET,Mauricio Pruzzo,8,6,0,0,5,2,1,0,ok,14,2.6666666666666665
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,CLUTCH PLANET,Rodrigo Alejandro Perez,9,6,1,3,2,1,2,2,ok,19,1.8
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,CLUTCH PLANET,Franco Levington,4,5,0,0,4,0,2,0,ok,9,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,41,sin fecha,UGAB,CLUTCH PLANET,Juan Esteban Chen,15,10,1,3,3,0,5,5,ok,29,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,TEMPUR A,Mariano Lorea,3,5,0,1,1,1,0,0,ok,9,3.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,TEMPUR A,Sebastian Sirlin,27,11,2,3,4,2,8,5,ok,43,1.8
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,TEMPUR A,Matias Landsberg,0,0,0,0,1,0,0,0,ok,0,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,TEMPUR A,Alan Berman,3,1,0,1,1,1,0,0,ok,5,3.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,TEMPUR A,Tomas Kobrinsky,2,1,0,0,2,0,1,0,ok,3,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,TEMPUR A,Nicolas Leigborin,1,7,1,0,5,0,0,1,ok,9,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,TEMPUR A,Federico Teper,10,6,0,1,2,2,2,0,ok,17,2.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,TEMPUR A,Nicolás Chamo,2,2,0,0,1,0,1,0,ok,4,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,TEMPUR A,Gonzalo Boudet,11,6,0,1,3,0,4,3,ok,18,1.5714285714285714
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"BENAGHI, GUIDO",2,7,0,0,4,0,1,0,ok,9,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"BOB LEHMANN, JUAN IGNACIO",6,0,0,0,0,2,0,0,ok,6,3.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"BRUZZONE, MATÍAS",3,2,1,1,2,0,1,1,ok,7,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"DÍAZ BENÍTEZ, TEO",0,1,1,1,0,0,0,0,ok,3,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"GALMARINI, FEDERICO",13,2,0,0,0,2,3,1,ok,15,2.1666666666666665
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"LAGOS, MATEO",20,3,0,2,2,2,5,4,ok,25,1.8181818181818181
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"LÓPEZ, ULISES",5,1,0,1,0,1,1,0,ok,7,2.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"NATALE, THIAGO",7,3,0,0,2,1,2,0,ok,10,2.3333333333333335
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"SLUCKA, IVÁN",0,6,0,1,5,0,0,0,ok,7,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,42,2026-02-28T03:00:00.000Z,ISEF,LITTLE HORSE,"SPERONE, IVO",7,4,0,1,1,1,2,0,ok,12,2.3333333333333335
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Homero Iturria,5,1,0,1,2,0,2,1,ok,7,1.6666666666666667
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Pedro Capaccioni,10,3,0,3,2,2,2,0,ok,16,2.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Bautista Nuñez,7,1,1,1,3,0,3,1,ok,10,1.75
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Rocco Capaccioni,2,1,2,0,3,0,1,0,ok,5,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Felix Scarafia,11,6,1,5,1,2,2,1,ok,23,2.2
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Jeremias Sardon,6,4,1,2,2,0,3,0,ok,13,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Ezequiel Brauch,0,3,0,0,3,0,0,0,ok,3,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Uriel Olea,13,3,1,2,2,1,5,0,ok,19,2.1666666666666665
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Aaron Przybytek,0,1,0,0,0,0,0,0,ok,1,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Iñaki Augusto Olea,7,6,0,1,3,0,2,3,ok,14,1.4
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Joaquin Ortiz,0,1,0,0,2,0,0,0,ok,1,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,HURACAN DE FERNET,Joaquín Villagra	,0,2,1,0,1,0,0,0,ok,3,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,LUCA VIZIOLI,5,4,0,0,1,1,1,0,ok,9,2.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,OSCAR PORTES,7,6,0,2,4,0,2,3,ok,15,1.4
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,GERARDO LIÑEIRO,2,6,0,1,3,0,1,0,ok,9,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,JUAN PABLO PASCUAL,4,5,0,0,1,0,2,0,ok,9,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,JULEN ERVITI,5,6,0,0,3,0,2,1,ok,11,1.6666666666666667
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,IGNACIO ROJO,3,1,0,0,1,0,0,3,ok,4,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,LISANDRO NADIN,19,13,0,1,3,1,7,2,ok,33,1.9
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,sin nombre,0,0,1,0,0,0,0,0,player null,1,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,TOMAS PUNTIN,0,0,0,0,0,0,0,0,ok,0,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,43,2026-03-01T21:30:00.000Z,ISEF,FLORIDA LEGENDS,CRISTIAN,2,0,0,0,0,0,0,2,ok,2,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,PICAPIEDRAS,"Proh, Marcos",7,3,1,2,0,1,1,2,ok,13,1.75
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,PICAPIEDRAS,"Lalueza, Marcos",0,5,1,3,0,0,0,0,ok,9,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,PICAPIEDRAS,"Ibañez, Franco Nicolas",3,10,0,1,0,1,0,0,ok,14,3.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,PICAPIEDRAS,"Masia Irigoyen, Santiago Alois",6,0,5,3,0,0,3,0,ok,14,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,PICAPIEDRAS,"Leon, Juan Ignacio",7,5,1,1,0,2,0,1,ok,14,2.3333333333333335
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,PICAPIEDRAS,"Pelorosso, Agustin",1,2,0,0,3,0,0,1,ok,3,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,PICAPIEDRAS,"Nicoletta, Franco",7,8,0,1,5,0,3,1,ok,16,1.75
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,PICAPIEDRAS,"Villalba, Mauro",0,2,0,0,1,0,0,0,ok,2,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,GIUFFRA A,Burgos Ian Matias,2,7,2,1,3,0,1,0,ok,12,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,GIUFFRA A,Corradini Ilan Genaro,12,4,2,0,1,3,1,1,ok,18,2.4
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,GIUFFRA A,Farruggia Gonzalo,25,10,1,3,0,3,7,2,ok,39,2.0833333333333335
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,GIUFFRA A,Córdoba Nicolas,3,10,2,4,3,0,1,1,ok,19,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,GIUFFRA A,Varela Nicolás,8,11,0,0,2,0,4,0,ok,19,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,GIUFFRA A,Sarti Leandro,2,3,1,0,0,0,0,2,ok,6,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,GIUFFRA A,Basualdo Tello Pablo,0,0,0,0,0,0,0,0,ok,0,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,GIUFFRA A,Bellisomi Marco,4,1,0,0,2,1,0,1,ok,5,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 1,44,2026-03-02T16:00:00.000Z,second chance,GIUFFRA A,De León Santiago,0,1,0,0,1,0,0,0,ok,1,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FLORIDA LEGENDS,LUCA VIZIOLI,7,2,1,0,2,1,1,2,ok,10,1.75
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FLORIDA LEGENDS,GUIDO VIZIOLI,0,1,0,0,3,0,0,0,ok,1,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FLORIDA LEGENDS,OSCAR PORTES,2,5,0,0,3,0,1,0,ok,7,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FLORIDA LEGENDS,ABRAHAM JORGE,3,5,0,0,1,0,1,1,ok,8,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FLORIDA LEGENDS,GERARDO LIÑEIRO,0,5,0,0,2,0,0,0,ok,5,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FLORIDA LEGENDS,JUAN PABLO PASCUAL,2,3,0,0,2,0,1,0,ok,5,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FLORIDA LEGENDS,JULEN ERVITI,19,12,0,5,2,3,5,0,ok,36,2.375
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FLORIDA LEGENDS,IGNACIO ROJO,17,6,1,0,0,3,3,2,ok,24,2.125
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FLORIDA LEGENDS,LISANDRO NADIN,10,10,2,2,2,0,3,4,ok,24,1.4285714285714286
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Emiliano Vilas,7,7,0,0,2,0,3,1,ok,14,1.75
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Juan Cruz Lorenzo,1,5,1,1,2,0,0,1,ok,8,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Santiago Jaratz,5,3,1,1,2,1,1,0,ok,10,2.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Luciano Chodaszewski,0,3,0,0,1,0,0,0,ok,3,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Agustín Samos,1,5,0,0,3,0,0,1,ok,6,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Manuel Trevisan,6,6,0,0,4,0,3,0,ok,12,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Alejo Lopez,9,5,0,0,2,1,2,2,ok,14,1.8
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Juan Fayer,5,6,1,0,3,0,2,1,ok,12,1.6666666666666667
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Maximiliano Drab,0,2,0,0,2,0,0,0,ok,2,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,45,sin fecha,UGAB,FRIJOLEROS,Juan Martiniano Delrio,4,3,0,0,1,0,2,0,ok,7,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,GIUFFRA A,Burgos Ian Matias,7,9,3,1,2,1,1,2,ok,20,1.75
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,GIUFFRA A,Corradini Ilan Genaro,2,4,0,1,2,0,1,0,ok,7,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,GIUFFRA A,Farruggia Gonzalo,17,18,2,5,3,1,5,4,ok,42,1.7
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,GIUFFRA A,Kemmerer Agustín,4,7,1,0,4,0,2,0,ok,12,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,GIUFFRA A,Córdoba Nicolas,4,5,0,0,3,0,2,0,ok,9,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,GIUFFRA A,Varela Nicolás,9,2,0,0,2,0,3,3,ok,11,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,GIUFFRA A,D'Arcangelo Genaro,0,1,1,0,2,0,0,0,ok,2,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,GIUFFRA A,Bellisomi Marco,0,0,1,1,0,0,0,0,ok,2,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,GIUFFRA A,Lagrave Tomás,2,1,0,0,1,0,1,0,ok,3,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Francisco Porres,0,2,1,1,1,0,0,0,ok,4,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Lucas Daniel Andrada,0,3,0,0,2,0,0,0,ok,3,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Agustin Capurro,2,1,1,0,2,0,1,0,ok,4,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Nahuel Cena,0,2,2,1,0,0,0,0,ok,5,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Juan Lucas Gonzalez,15,5,1,2,1,1,3,6,ok,23,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Iván Exequiel Candotti,3,11,0,2,2,0,0,3,ok,16,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Mauricio Pruzzo,9,7,0,0,1,1,3,0,ok,16,2.25
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Rodrigo Alejandro Perez,8,7,2,3,2,2,1,0,ok,20,2.6666666666666665
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Juan Esteban Chen,3,4,1,0,0,0,0,3,ok,8,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,46,2026-03-09T16:30:00.000Z,UGAB,CLUTCH PLANET,Rodolfo di biase,15,8,2,3,1,2,4,1,ok,28,2.142857142857143
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"BELLINI, LUCIANO",12,5,3,0,3,0,3,6,ok,20,1.3333333333333333
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"BENAGHI, GUIDO",4,9,0,1,3,0,2,0,ok,14,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"BOB LEHMANN, JUAN IGNACIO",3,3,0,0,0,1,0,0,ok,6,3.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"BRUZZONE, MATÍAS",2,0,0,0,1,0,1,0,ok,2,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"DENDI LÓPEZ, BRUNO",0,0,0,0,0,0,0,0,ok,0,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"GALMARINI, FEDERICO",6,2,1,1,2,0,2,2,ok,10,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"IGLESIAS, SANTIAGO",0,3,0,0,2,0,0,0,ok,3,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"LÓPEZ, ULISES",6,7,1,1,2,2,0,0,ok,15,3.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"NATALE, THIAGO",6,2,1,0,3,0,2,2,ok,9,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"SLUCKA, IVÁN",0,6,0,4,3,0,0,0,ok,10,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,LITTLE HORSE,"SPERONE, IVO",5,3,0,2,2,1,1,0,ok,10,2.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,PANZA VERDE,Federico Franzese,10,6,1,1,4,0,3,4,ok,18,1.4285714285714286
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,PANZA VERDE,Francisco Charadia,9,8,2,4,3,1,3,0,ok,23,2.25
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,PANZA VERDE,Tomas Joaquin Vega,5,2,0,0,2,1,1,0,ok,7,2.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,PANZA VERDE,German Casanova,9,4,0,2,1,3,0,0,ok,15,3.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,PANZA VERDE,Agustin Ariel Batto,5,7,2,0,2,1,1,0,ok,14,2.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,PANZA VERDE,Renzo Giordano,6,2,0,1,1,0,2,2,ok,9,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,PANZA VERDE,Mateo Handera,4,3,0,1,3,0,0,4,ok,8,1.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,PANZA VERDE,Manuel Francisco Almada,3,2,1,1,5,0,1,1,ok,7,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,47,sin fecha,sin lugar,PANZA VERDE,Emiliano Palumbo ,0,2,0,0,0,0,0,0,ok,2,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,LAST CHANCE,Martin Jose Monteverde,7,4,0,2,1,0,2,3,ok,13,1.4
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,LAST CHANCE,Facundo Ivan Migliasso,3,9,0,0,3,0,1,1,ok,12,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,LAST CHANCE,Damian Soloaga,0,7,1,0,0,0,0,0,ok,8,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,LAST CHANCE,Agustin Nadal,3,2,1,3,3,0,1,1,ok,9,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,LAST CHANCE,Alan Benduya,6,0,0,1,2,1,0,3,ok,7,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,LAST CHANCE,Facundo Taffarel,0,1,0,1,1,0,0,0,ok,2,0.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,LAST CHANCE,Lucas Martin Ghizzoni,6,1,0,0,2,2,0,0,ok,7,3.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,LAST CHANCE,Comte Juan Pablo,3,3,2,3,2,0,1,1,ok,11,1.5
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,LAST CHANCE,Carlo Rafael Garcia Palavecino,5,6,0,1,0,0,2,1,ok,12,1.6666666666666667
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,CHICAGO BALLS,Camilo Fajardo Lemos,2,10,0,1,3,0,1,0,ok,13,2.0
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,CHICAGO BALLS,Francisco Ramos,9,3,1,3,0,0,4,1,ok,16,1.8
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,CHICAGO BALLS,Santiago Larroca,9,11,3,2,1,0,4,1,ok,25,1.8
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,CHICAGO BALLS,Joaquin Lopez,15,6,2,4,2,0,7,1,ok,27,1.875
TORNEO APERTURA 2026,PRIMERA A,Fecha 2,48,sin fecha,sin lugar,CHICAGO BALLS,Juan Schiaffi,2,2,1,2,0,0,1,0,ok,7,2.0
